source,target,x1,x2,y1,y2,dist
11836,16790,-89.0479744,-89.0486317,42.3051659,42.3056104,73.31533654
2000,3413,-89.0771332,-89.0771289,42.2378831,42.2360579,202.7396704
8052,13269,-89.1435746,-89.1431187,42.1886822,42.1886833,37.92285807
4858,8741,-88.9776696,-88.9776673,42.3244057,42.3236601,82.82115154
9842,8205,-88.9712194,-88.9696181,42.2403652,42.2357111,672.4482802
2389,10578,-88.9665629,-88.966459,42.2386701,42.2393014,370.0761708
6678,2511,-88.9754846,-88.9755998,42.2425291,42.2439552,163.8871232
60,1628,-88.945174,-88.9451078,42.3231434,42.323087,8.308213896
8035,19315,-89.0259224,-89.0261319,42.3398885,42.3398825,17.27742112
19319,394,-88.9518563,-88.9518648,42.3259183,42.3265467,69.80595076
4051,1507,-88.9523383,-88.9529592,42.3259102,42.3259064,51.18045196
12587,9932,-88.9515134,-88.9513191,42.3255298,42.3255318,16.01713596
18324,16703,-89.0558959,-89.0558943,42.3156422,42.3155092,14.77415105
18108,8368,-89.0045667,-88.9996771,42.2616765,42.261726,403.4804261
12167,10768,-89.0185707,-89.0176202,42.2949619,42.294925,78.49203935
8804,19395,-88.9684385,-88.9680863,42.3491445,42.3482759,106.0793716
18020,9658,-88.9655652,-88.9679404,42.3530742,42.3553246,322.8410165
18062,9034,-88.9830744,-88.9829618,42.3269912,42.3268518,18.05293491
12857,7399,-89.0167451,-89.0166283,42.2591999,42.2585155,77.21632477
3540,17198,-89.0813069,-89.0832603,42.3183819,42.3179935,182.6656336
4568,4797,-88.9782805,-88.9785104,42.309635,42.3096042,19.26106019
4797,18862,-88.9785104,-88.9787413,42.3096042,42.3095732,19.34615364
3839,17794,-89.1438965,-89.1452355,42.2900656,42.2900589,110.4344371
16882,3593,-88.9874575,-88.987201,42.2688736,42.2689061,21.50001984
10147,1766,-89.1160235,-89.1160659,42.266022,42.2654581,62.91773807
1766,9575,-89.1160659,-89.1160635,42.2654581,42.2643711,120.7424162
9575,4440,-89.1160635,-89.1160693,42.2643711,42.2638216,61.03946462
188,7800,-88.9795539,-88.9793341,42.272751,42.2727484,18.13492404
17233,9825,-89.0740082,-89.0745128,42.2955352,42.2955373,41.61314558
1538,388,-89.0854227,-89.0862113,42.2731745,42.2722481,121.7431849
15096,11483,-89.0156077,-89.0154184,42.2139079,42.2133419,64.80115653
18602,15781,-89.0868586,-89.0837687,42.278831,42.2773625,303.1284082
2544,1351,-89.072029,-89.0723545,42.2875982,42.2880652,58.40894768
15857,17167,-89.04265,-89.0414559,42.3358078,42.335809,98.4103276
17167,4293,-89.0414559,-89.0402312,42.335809,42.3358229,100.9438945
